en,uz
Grow up,"katta bo'lmoq, o'smoq"
Hang up,"osib qo'ymoq, trubkani qo'ymoq, osilib turmoq"
Help out,"yordam bermoq, qo'llab quwatlamoq"
Hoiri out,cho'zmoq
Hold on,O'zingizni qo'lga oling! Kutib turing!
Hold up,ko'tarmoq
Keep up,"orqadan qolmaslik, davom etiirmoq"
Keep on,davom ettirmoq
Knock down,"buznoq, oyoqdan yiqilmoq"
Knock out,"kar qilmoq, urib yengmoq"
Knock off,"yo'q qilmoq, to'xtatmoq, tashlamoq"
Let out,"ozodlikka chiqarmoq, bo'shatmoq"
Line up,qatorga turmoq
Look back,"orqaga o'girilmoq, orqaga qaramoq"
Look forward to,sabrsidik bilan kutmoq
Look lbr,"izlamoq, qidirmoq"
Look over,"qaramoq, qarab chiqmoq"
Look out,"ehtiyot bo'lmoq, mo'ralamoq"
lVlake up,"tuz,moq, to'qimoq"
Make out,"tushunmoq, ajratmoq"
Move out,"chiqmoq, oldinga siljimoq"
iliove on,"riaishe iretmoq, harai<aini davom eitirmoq"
Move in,"kirmoq, ko'chib kelmoq"
Pass out,xushini yo'qotmoq
Point out,"ko'rsatib o'tmoq, chizib qo'ymoq"
Pick up,"olmoq, ko'tarmoq, tanlab olmoq"
Pull off,"yechmoq, eplamoq"
Pull up,"kelib turmoq, to'xtamoq"
Pull oui,chiqarib olmoq
Put away,"yo'qotmoq, keyinga qoldirmoq, yashirmoq"
Put in,qo'ymoq
Put down,"tushurmoq, pastga qo'ymoq"
Put out,"toftmoq, cho'zmoq"
Put on,"kiymoq, yoqmoq"
Pui up,"ko'iarmoq, eumog, moiiyalashtirmoq"
Run into,"uchratmoq, duch kelmoq"
Run away,qochmoq
Run off,qochmoq
Run over,"ko'chib o'tmo{, yugurib bormoq"
Set up,"uyushtirmoq, yaratmoq"
Set off,"yo'lga chiqmoq, chaqirmoq"
Set down,qo'ymoq
Show up,"paydo bo'lmoq, kelmoq"
Shoot out,otilib chiqmoq
f Sit down,"o-tirmoq, joy egallamoq"
Shut up,ovozini o'chirmoq
Sit back,suyanmoq
Shut down,"yopmoq, o'chirmoq"
Sit up,turib qo'ymoq
Stand by,"tayyorlanmoq, kutmoq, qo'llab-quwailamoq"
Spread out,"cho'zmoq, kengaytirmoq"
Stand up,"turmoq, to'g'irlamoq"
siand oui,ajraiib turmoq
Stick out,"cho'zmoq, osilib turmoq"
Switch on,yoqmoq
Switch off,o'chirmoq
Take away,"yo'qotmoq, olib qo'ymoq"
Take over,"egallamoq, zabt etmoq"
Take on,"ega bo'lmoq, qabul qilmoq"
Take off,"yechmoq, ketmoq"
Take in,"qabul qilmoq, ichkariga qo'ymoq"
Take out,chiqarib olmoq
Take back,qayrarib bermoq
Take up,joy egallamoq
Throw up,"qusmoq, tashlamoq"
Turn around,burilmoq
Turn into,kimgadir yo nimagadir aylanmoq
Turn on,yoqmoq
Turn off,o'chirmoq
Turn up,paydo bo'lmoq
f Turn over,"o'girilmoq, berib yubormoq"
Turn out,bo'lib qolmoq
Whik away,keimoq
Walk around,"yurmoq, hamma yerda daydimoq"
walk over,yaqinlashmoq
walk out,chiqmoq
Walk in,kirmoq
Walk back,qaytmoq
Work out,tushurho{r rejalashtirmoq
Write down,yozib olmoq
Work up,"yaratmoq, tuzmoq, havotir olmoq"
Wind up,"nimadir bilan tugamoq, bo'lib qotmoq"
Watch out,"ehtiyot bo'lmoq, qarab yurmoq"
I'o subsidise,subsidiya berish (kimgadir motiyaviy ko'mak
Productivity,samaradorlik
Output,ishlab chiqarish hajmi
WorMife balance,ish/hayot balansi (qattiq mehnat
Pay increments,qo'shimcha to'lash
Perks,imtiyo4 yengillik (Park) Parkda shunchaki aylanib
I'inancial rewards,moliyaviy mukolbtlar
Bonuses,bonuslar
Incentives,"stimullar, rag'batlantiruvchi omillar"
Target-related,vazifaga oid
On the job training,ish vaqtidagi ta'lim
Ongoing training,ish davomidagi ta.lim (faqat
Day release programmes,kun davomidagi ishdan
career progression,karyerada rivojlanish
Job prospects,ishdagi kelajek (ya'ni o'sishga va
To measure,o'lchamoq. baholamoq
Redundancy,keraksi4 ishsizlik (Bedana dendi.) Bedanalar
To restructure,"qayta tashkillash, qayta tuzish"
fo downsize,organizasiyani kichiklashtirish va kamroq
To outsource,autsors (kompaniya ichida ishlashni to'xtatib
The workforce,ishchi kuchi
Curriculum,qo'shimcha (darsdan keyingi)
Syiiabus,"o'quv dasiuri, o'quv rcjasi"
Formal examinations,formal imtihonlar
Academic achievement,akademik muvaffaqiyat
Further education,chuqurlashtirilgan ta'lim
Higher education,oliy ta'lim
Group work,guruh ishi
Autonomous learning,altonom ta'lim (talaba
Study skills,o'quv ko'nikmalari
Rote-learning,yodlab olish (shunchaki qayta-qayta
Supplement,"qo'shimcha qo'shish, to'ldirish"
To assimilate knowledge,bilimni assimilyatsiya
Guided iearning,o'qituvchi namratitia o'rganish
Data-gathering,ma'lumot to'plash
Distance learning,"masofaviy ta'lim (onlayn, internet"
Sell'-study,individual o-rgani$h (o'qituvchisiz o'rganish)
To sift information,ma'lumotni elakdan o'tkazmoq
To marshal facts,faktlarni tartibga keltirmoq
An integral part ofsyllabus,o'quvdasturining
Foster parents,bola asrab olgan ota-onalar
Guardians,vasifar
Role models,rol modellar (namuna bo'la oladigan
Ground rules,amal qilish kerak bo'lgan buyurilgan
conventions,an'analar
cories of conduct,iurli xil vadyatlarda insonlar
Bullying,bezorilik qilmoq
Truancy,darslarni sbabsiz qoldirish
Abduction,"o'g'irlash, o'g'irlik (Ob-havo o'rdak) Ob-havo"
Feerpressure,guruh bosimi
Duai-income,oia ham ona ham ishiaydigan oiiaiar
Breadwinner,oilada eng ko'p pul topadigan inson
Child-minding,ota-ona bandligida
Afiei-'schooi cbiidcare,makiabdan so'ng boiaga
Viable,"umidli, muvaffaqiyat keltiradigan"
Peers,tengdoshlar
Bonding,aloqalarni rivojlantirish
Patterns of behavior,xulq-atvor namunalari
well brought-up,yaxshi tarbiya ko'rgan
contamination,"ifloslanish, bulg'anish"
The biosphere,biosfera
Emissions,"emissiya, nurlanish, nur taratish"
Pollutant particles,ifloslanishning mikroskopik
The water cycle,suv sikli (suvning bulutdan yomg'ir va
Aquil'ers,yer osti tabiiy suv omborlari
tr'iltration,filtrlash (filtrlash jarayoni)
water table,yer ostidagi suv qafldmi
Tainted,ifloslangan
Soil erosion,shamol va yomg'ir harakatida tuproqning
Logging,daraxtlarni ishlab-chiqarish maqsadida kesish
Dumping,ifloslanish
Landlills,axlatlaryergako'miladiganmaxsushududlar
Waste proeessing,axlatlarni ishlatsa bo'ladigan
Poaching,jonivorlarni noqonuniy ravishda ovlash va
Ilabitat loss,yashash joyini yo'qotish
Dwindling numbers,pasayish miqdori
Extinction,yo'q bo'lib ketish
Irrigation,irrigasiya
Catastronhe,katastrofa
Exacerbated,"kuchayib ketgan, jahli chiqqan"
Rituals,rituallar (an'analhr)
Parades,paradlar
To transmit,o'tkaznoq
Social memes,ijtimoiy odatlar
Public duty,jamoat majburiyat (mas'uliyati)
Self-sacrifice,o'zini qurbon qilish
Cultural traditions,madaniy an'analar
Medieval,o'rta asr
Cultural norms,"rnadaniy normalar, standartlar"
l'he labric of society,jamiyatni birlashtiruvchi va
To conserve,"saqlash, saqlanish"
hand something down,meros qoldirmoq
Heritage,meros
Legends,afsonalar
I'oikiure,foikior
rnheritance,meros
f ine art,qiziqarli san'at
Handicrafts,qo'l mehnati
Opera,opera
Shanties and dirges,milliy qo'shiqlar
Linguistic,lingvistik O'xshash so'dar
Media,media (kommunikasiya uslubi)
Sedentary lifestyle,harakatsiz hayot obrazi (faqat
Inadequate development,noadekvat
Strain,jismoniy yoki aqliy stress (zo'riqish)
Symptoms,simptomiar; O'xshash so'ziar
Impairment,zaillashish
Poordiet,zararli nutrientlarsizdieta uslubi
Convenience food,qulay taom (upakovkade
To socialize,ijtimoiylashish (do'stlar hamda boshqa
Interpersonal skills,muomala ko'nikmalari
Active lifestyle,faol hayot tarzi
Sponsorship,sponsorlik Siz Titanik kemasiga sponsorlik
Participation,qatnashish
Competitive,musobaqaviy
Remedies,muammo va holatga javoblar
An initiative,davlat yo bizresdagi yangi dastur yo g'oya
Raise awareness,xushyorlikni oshirish
Heaiih warnings,salomatlik ogohlantirishi
Champions,chempionlar
Dependency,"bog'liqtik, bog'lanish"
Pursuits,insonlar zavq bilan bajaruvchi hobbilar yoki sport
Social unrest,ijtimoiy notinchlik Ijtimoiy
An issue,yechiiishi kerak'oo'igan masaia (savoiiar)
Pressing matters,"shoshilinch, muhim masalalar"
Joblessness,ishsidik Jobir ishsiz qoldi
Economic piospects,iqiisodiy istiqboi (keiajak)
The private sector,xususiy sektorlar
Demographics,"demografrya (iamiyatdagi yosh, kelib"
Longeviiy,vzo.l yashash
To migrate,"migratsiya qilish, ko'chish"
Brain drain,zukko va muvallaqiyafli ishchilarning
An outbreak,"boshlanish, ibtido"
Liveiihood,iirikchiiik manbai
Developed countries,rivojlangan davlatlar
Developing countries,rivojlanayotgan davlatlar
investme rii or- fu'iding,irvestisiya yofti fond
Infrastructure,infrastruktura (hududning tizimi)
High-capacity,"yuqori martaba, yuqori hajm"
Public transport,jamoat transporti
Congestion,"o'ta zichlik, haddan oshiq to'latik (en"
Conrrrbations,"konurhasiya (rivojlanib, o'sib birlashib"
Transport hubs,transport gupchaklari
l'acilities and amenities,qulayliklar va
A bottleneck,kichik o'tish yo'lagi
Overcrowding,gavjumlik(xalqning to'lib ketishi)
Hinterland,rivojlanish tulayli paydo bo'lgan shahar
To settle in a place,joyga ko'chib o'tish
Urban sprawl,shahardagi yoyilib ketish
Public-private partnerships,davlat va
Civic pride,shaharga xos faxr
Tax incentives,soliq imtiyodari
Home working,uy ishlari
Suburbs,shaharga tutashgan posyolka
The inner city,shaharning eski markaziy qismi
Outdated,modadan chiqqan
Rural depopulation,qishloqdagi depopulyatsiya
Country dwellers,qishloqda yashovchitar
A scarcity,noyoblik
Rural unemployment,qishloqdagi ishsidik 1745
Material considerations,moddiy fikrlar
An abundance,mo'l-ko'lchilik (E bardrt) Mo'l-ko'lchrlik
i Whier bodies,suvii hududiar
subsistence,muhtojlikda yashash
Self'-sul'licient,o'ziga to'qtik
Smallholders,kichik xo'jalik fermerlari
The wider economy,davlatning mitliy iqtisodiyoti
To affiici,ia'sir qiimoq
Animal husbandry,hayvonlarni boqish ko'nikmasi
Crop rotation,hosil aylanishi (tuproqni asrash
Remote viewing,uzoqdagi manzlr^ (manzarani
Environmental awareness,atrof-muhitga
Far-llung,uzoqdagi
Paramount,o'ta muhim
Devious,ayyor
Minutiae,kichikdetallar
Grievance,"shikoyat, alam"
sensitivity,sezuvchanlik (Sensor Televrzor) sensor televizor
conviction rates,hukm koefisienti
A deterrent,tiyib turish vositasi
Seniencing,hui<m chiqarish
lmprisonment,qamoqd agi jazo
A fine,jarima
community service,obodonlashtirish xizmati
Rehabilitation,reabilitasiya
An offender,jinoyatchi
Tendencies,"intilishlar, moyilliklar"
Corruption,korrupsiya
Bribery,pora berish
To enlbrce laws,qonunlarni joriy etish
I-Jneouifnhle,frrrli ril gunrhlarga nisbafan adolatsidik
Law-abiding,qonunga bo'yinsunuvchi
Transferable skills,turli xil vaziyatlarda ishlatsa
Lateral thinking,lateral fikrlash (keng fikrlash)
To transcend a situation,kattalashish
A context,"kontekst, vaziryat, muhit"
To outweigh,"oshib tushmoq, oshib ketmoq"
over-familiarlty,qonr-ro xalq hila-n juda do'stona
Transcend a situation,kattalashish (vaziyatni
Context,"kontekst, vaziyat, muhit"
Outweigh,"oshib tushmoq, oshib ketmoq"
Over-lamiliarity,qonun xalq bilan juda do'stona
Aberration,adashib qotish
Abhor,juda yomon ko'rish
Acquiesce,istamay rozi bo'lish
Alacrity,talyor (shay) turmoq
Amiable,do'stona
Arcane,maxliy sir
Avarice,"nafs, ochko'dik"
Bazen,"aniq, ravshan, yaqqol"
Callous,"toshbag'ir, bemehr"
Candor,"samimiy, ochiqkoongill (kinder) Kinder ichidan"
Clandestine,"maxliy, yashirin"
Coerse,majburlamoq
Coherent,"mos, uyg'un"
Confident,ishongan
connive,reja tuzmoq
Cumulative,"to'plangan, jamlangan"
Decry,ochiqchasiga tanqid qilish
Deferential,"xurmatli, muhtaram"
Diligent,"tirishqoq, serg'ayrat (dilijon) '. Dilijon-dildon' deya"
Extrude,chiqarib yubormoq
tr'labbergasted,"hayratlangan (tr'lesh, gaz) Flesh suvini"
tr'orsake,"tark etmoq, voz kechmoq"
Fractious,"g'ashga tegadigan, jaxlni qo'zg'atadigan"
Furtive,"sirli, yashirincha, ayyor, o'g'irlangan"
Gluttony,"ochko'2, nafsi yomon, yeb to'ymas"
Haughfy,"dimog'dor, kekkaygan, manman"
Impeccable,"na'munali, a'lo"
Impertinent,"qo'pol, surbet, beor"
Implacable,"darg,azab, shafqatsi4 zolim"
Impudent,ga sinonim
Incisive,"aniq, lo'nda,keskin"
Indolent,"dangasa, yalqov"
Inept,"no,noq, uquvsiz, nomunosib"
rnfamy,"yomonotliq, yuzi qora"
lnhibit,"taqiqlamoq, ma'n etmoq"
Innate,"tabiiy, mahalliy, shu yerlik"
Intrepid,"qo'rqmas, jasur, mard"
f Jubilant,"shod-xurram, quvnoq"
Knell,dafn/nimaningdir yakuniga yetishi munosabati bilan
Lithe,"egiluvchan, mayin"
Lurid,"vahimali, daxshatli"
Maxim,"hikmatli so'2, ibora"
Meticulous,"ehtiyotkor, sinchkov"
Modicum,"oz miqdor, kichik qism"
Morouse,"xafa, g'amgin, noxush"
Nadir,"nodir, kamyob"
Nominal,"shaftli, arzimas, atoqli"
Nuance,kichik larq
oblivious,xotirasi past
Obsequious,"bo'ysinuvchan, itoatkor"
Obtuse,"esi past,anqov"
Panacea,"davo, chora"
Parody,"taqlid, parodiya"
Penchant,"xohish-ishtiyoq, moyitlik (pechen,ye)"
Perusal,"takrorlash, tekshirish"
Plethora,"serobgarchilik, mo'l- ko'l"
Refurbish,"qayta tiklamoq, yaxshilamoq (reformatsiya) -"
Repudiate,rad etmoq
Rife,"to'la, serob"
Salient,"mashxur, atoqli"
Serendipity,omad
Staid,"bosiq, vazmin, ijobiy"
Sycophant,"hushomadgo'y, laganbardor"
Taciturn,"kamgap, indamas"
Vociferous,baland ovo4 shovqinli
Wanton,"$uyuq, yengiltak (lbntan) Faraz qiling xiyobonda"
Abeyance,"bedaraklik, noaniqrik"
Abide,"sodiq qolmoq, chidamoq"
Abnormal,"g'ayritabiiy, noodatiy"
Aboard,"poyezd, samolyot bo'rdi"
Abridge,"qisqartirmoq,chegaralamoq"
Abrupt,"to'satdan, kutilmaganda"
Absent,"kelmagan, yo'q"
Academy,akademiya
Accelerate,"tedashtirmoq, kuchaytirmoq"
Access,kirish
Accessory,"qo'shimcha buyum, aksessuar"
Accompany,hamroh bo'lmoq
Accomplishment,"tugaltamoq, muvlhqiyatga erishmoq"
Accorrl,ixtiyoriy ravishda rozi bo'lmoq
Accrue,"to'plamoq, oshirmoq"
Accumulate,"to'plamoq, yig,moq"
Accuse,"ayblamoq, qoralamoq"
Acquaint,"ma'lum qilmoq, bildirmoq"
Actual,"asosiy, haqiqiy, faol, muhim"
Acute,"o'tkir, ziyrak"
Adhesive,"yelim, yopishqoq"
Adjoin,"yaqin, yondosh bo'lmoq"
Admit,"ruxsat bermoq, rozi bo'lmoq"
Adopt,"asrab olmoq,qaror qabul qilmoq"
Adore,"qsttiq sevmoq, telba bo'lmoq"
Advanced,"ilg'or, intiluvchan, o'dashtiruvchi"
Adverse,"zararli, yomon"
Aerial,"antenna, havo to'lqini"
Afliliate,"birlashtirmoq, a'zolikka qabul qilmoq"
Affirm,"tasdiqlamoq, isbot qilmoq"
Afford,qurbi yetmoq
Aggravate,"yomonlashtirmoq, og'irlashtirmoq"
Aggregate,"to'plam, jamlamoq"
Agony,"dard, iztirob"
Aid,"yordam, ko'maklashmoq"
Ailment,"kasallik, azob"
Aim,"maqsad, niyatga erishmoq"
Alert,"ogoh, hushyor"
Aliyen,"begona, chet ellik (Ali) lntemetdatanishgan chet elhk qrzi"
Alliance,"birlashma, ittifoq"
Allignment,"birlashma, ittifoq"
Allocate,"taqsimtamoq, joytashtirmoq"
Allowance,"maosh, stipendiya, nafaqa"
Ally,"hamkor, sherik, tanish (oroy) oloy bozoridasherikranni chuv"
Altitude,baland(lik)
Ambassador,"elchi, diplomat"
Ambiguous,"shubhali, mujmal, noaniq"
Ambitious,shuhratparast
Amendment,"to'g'rilash, tuzatish"
Ammunition,o'q-dori
Anchor,langar
Animate,jonlantirmoq
Annex,"zabt etmoQ, egallamoq"
Annoy,"ranjitmoq, jig'iga tegmoq"
Anxoius,"notinch, tashvishli"
Anyhow,qanday bonlmasin
Ape,"malmun, taqlid qilmoq"
Apologize,uzr so'ramoq
Applicant,"nomzod, ariza beruvchi"
Appreciate,qadrlamoq
Apprentice,shogird
Approximately,"taxminan, chamasi"
Aptitude,"qobiliyat, iste'dod"
Ardent,"g'ayrafli, jo'shqin"
Arduous,"qiyin, mushkur"
Arise,"ko'tarilmoq, paydo bo'lmoq"
Aristocrat,"zodagon, aristokrat"
Armour,"zirx, ximoya qoplamasi"
Arouse,"uyg'otmoq, jonlantirmoqt (araz) otasidan arazlab uxlab"
Arrange,"tartibga solmoq, ketishib olmoq"
Array,"tartib, ko'rsatuv, namoyish"
Arrogant,"mag'rur, dimog'dor"
Artificial,"sun'iy, qaltraki"
Ascend,"ko'tarilmoq, yuksalmoq"
Ascribe,"...deb o,ylamoq, (skripka) eaylardardir yoqimli kuy"
Aspect,"ko'rinish, nuqtai nazar"
Assist,yordam bermoq
Assurance,"kalblat, ishonch"
Attain,"yetmoq, erishmoq"
Attend,"qatnashmoq, e'tibor bermoq"
Attic,bolaxona
Attitude,munosabat
Attorney,"huquqshunos, advokat"
Available,"yaroqli, foydali, royiq"
Avenger,qasoskor
Avenue,shox ko'cha
Axis,"(yer) o'qi, markazi"
Baby-sitter,enaga
Backbone,"kelib chiqish, asl-nasl"
Backward,qarama-qarshilorqa tomon 2)orqada qolmoq
Band,"belbog', tasma, ball, orkestr"
Bang,"shovqin, taraqla(t)moq"
Bankrupt,"kasodga uchragan, bankrot"
Bar,"qaxvaxona, bo'lak, to'siq, advokaflar uyushmasi"
Barber,sartarosh
Bare,"...siz, yalang, bo!h, pq_ch"
Barely,"m'rg'a, deyarli"
Bargain,"savdolashmoq, kelishuv"
Barn,ombor
Barrier,"xalal berish, to,siq-g'ov"
Barter,"ayirboshlash, barter"
Basement,"asos, poydevor, yerto'la"
Basin,"kosa, tog'ora, hovuz, ko'rfaz"
Bay,"ko'rfa;4 g'alaba toji, uvillamoq"
Bead,"munchoq, tasbeh donasi"
Beak,tumshuq
Bear,"ayrq, dunyoga keltirmoq, tashimoq"
Belittle,mensimaslik (little -kichkina) Kichkina jonzotlarni
Belly,qorin
Bend,"egilmoq, burilish"
Beneath,"tubida, tagida"
Beneliciary,"tbydalanuvchi, manlhatdor"
Bequeath,vasiyat qilmoq
Bestow,"mukofotlamoq, sovg'a bermoq"
Bet,"garov (o'ynamoq), aniq bilmoq"
Bewilder,"chalkashtirmoq, xijolat qilmoq"
Bias,"adolatsiz ravishda, tarafkashlik"
Bid,"gapirmoq, narx taklif etmoq, bulurmoq"
Blacksmith,"temirchi, taqachi"
Blade,"tig', ingichka yaproq"
Blast,"portlash, shamol tedigi, hushtak ovozi"
Blaze,"gulxan, yonmoq"
Bleach,oqar(tir)moq
Bleak,"sovuqqon, erinchoq, xata"
Bless,"iltijo(duo) qilmoq, sig'inmoq"
Blink,"ko'z qismoq, fochib-yummoq]"
Block,"to'plam, g'o'la, to'siq, ko,p qavatli bino"
Bobby,politsiyachi
Bond,"rishta, aloqa, qarz xujjati"
Booby,tentak
Boom,"tez o'sish, gumburlamoq"
Boor,"tarbiyasiz, qo'pol"
Boost,"ko'paymoq, yuksalmoq"
Booth,"do'koncha, kichikxona"
Border,"chegara, chet"
Borough,"tuman, shaharcha"
Bounce,"sakramoq, sapchib tushmoq"
Boundles,cheksiz
Brace,"biriktirmoq, mustahkamlamoq"
Brake,tormoz bermoq
Breadth,"kenglik, en"
Bribe,pora berish
Bridle,"yugan, jilov"
Brief,"qisqa-lo'nda, xulosa"
Brittle,"mo'rt, tez sinadigan"
Brook,"soy, ariq, jilg'a"
Brute,hayvon
Bud,"kurtak, g'uncha"
Bully,"bezori, janjalkash"
Bum,"daydi, bekorchi"
Buoyant,"chekmaydigan, xushchaqchaq"
Burning,"tez, keskin, shoshilinch"
Burden,"yuk, og'ir tashvish"
Burly,"barvasta, kelishgan,azamat"
By-product,qo'shimcha maxsurot
By-way,"yo'lak, tratuar"
cab,taksi
cabinet maker,"duradgor, mebel yasovchi"
Cancer,"saraton, rak"
Candid,"samimiy, rostgo'y"
Cannibal,odamxo'r
Cannon,"to'p, zambarak (keng non) Nowoy anyqa usul bilan"
Canny,"aJryor, ehtiyoykor"
Canon,"diniy qonun, asos"
Canvas,"bo'a, brezent, yelkan"
Canvass,"saylovoldi harakatlari, ovozyig'moq"
Capitulate,taslim bo'lmoq
Caption,"sarlavha, nom"
Career,"karyera, kasb, martaba"
Cargo,"yuk, kargo"
Carnage,"xunrezlik, qirg'in"
Carol,xristian bayram qo'shig'i
Cart,arava
Cast,"uloqtirmoq, quymoq, rol o'ynamoq"
Castigate,"jazolamoq, koyimoq"
casualty,"yarador, jabrlanuvchi"
catchy,"jozibador, esda qoradigan"
catholic,"katolit<, umumiy, olamshumul"
caustic,"kimyoviy zrharli, o'tkir"
cater,ta'minlamoq
Caution,"ogohlantirish, .ehtiyotkorlik Texnik"
Cavalry,otliq askarlar
cavern,katta g'or
celestial,"samoviy, ilohiy"
Cell,"hujayra, element"
Censorship,"nashr qilinadigan, sahnaga qo'yiladigan"
censure,tanqid qilish
Census,ro'yxatga olish
Cereal,don- boshoqli ekin
Ceremonial,tantanali
Certify,"tasdiqlamoq, guvohlik bermoq"
Chancellor,"kansler, rais"
Chant,"qo'shiq, kuylamoq"
Chaos,tartibsizlik (kiyoska) Gazeta sotuvchi kiyoska shahar
Chap,"yrgit, kishi, darz ketmoq"
Chapter,"bo'lim, qism, jarayon"
Char,"kuydirmoq, ko'mir qilmoq"
Charge,"baholamoq, to'ldirmoq, ayblamoq, shogird"
Charlatan,"tiribgar, qallob"
chart,"jadval, gratik, dengiz xaritasi"
charter,"hujjat, imtiyoz, yollash"
Chase,"quvmoq, ta'qib qilmoq"
cherish,umid bilan o'stirmoq
chivalry,mardlilq iltifotlilik
Chore,kunbay ish
Chum,oshna-og'ayni
Chunk,"burda, bo'lak"
Chute,"qiyalik, jarlik (kut) tnspektor jinoyatri fosh qilishda"
Citadel,qal'ao qo'qg'on
Cite,"sitata (dalil) keltirmoq, sudga bermoq"
Civil,oddiy luqaro
Claim,da'vo (talab) qilmoq
Clamour,shovqin
Clamp,"qisqich, mahkamlamoq"
Clan,"qabila, jamoa"
Clause,"qo'shma gapning bir qismi,bob"
Claw,hayvon panjasi
Clay,loy
Clench,"siqmoq,qisib olmoq"
Cliche,"qolip, tamg'a, siyqasi chiqqan gap"
Climax,"cho'qqi, eng yuqori nuqta"
Cling,"yopishib olmoq, (keling)"
Clique,"to'da, jinoyatchilar guruhi"
clockwise,soat srelkasi bo'ylab harakaflanish
Cloth,"mato, dasturxon"
Clump,daraxtzor
Cluster,"guruh, bog'lam, dasta"
Coarse,"ishlov berilmagan, dag'al"
Coax,"hushomad qilmoq, ko'ndirmoql (kakos)"
Cobble,toshli yo'l
Cockney,"londonlik, (fuqaro)"
Cock-sure,o'ziga ishongan
Cogitate,"o'ylamoq, fikr yuritmoq"
Cohesion,"bog'lanish, birikish"
Coil,"g'altak, xalqa"
Collier,ko'mir qazuvchi
Colloquial,so'dashuv
Column,"ustun, vertikal to'g'ri chiziq"
Commandment,"buyruq, larmon"
Comment,"sharh(lamoq), izoh(lamoq)"
Committee,"qo'mita, komitet"
Commonwealth,davlatlar hamdo'stligi
Communicative,"kirishimli, sergap"
Communique,rasmiy xabar
Community,"jamoa, jamiyat, umumiylik (hakam yutindi)"
Commute,"qatnamoq, yengillashtirmoq"
Compassion,"rahmi kelisb, achinish"
Compatible,"uyg'un, munosib"
Compile,"to'plamoq, tumoq, yozmoq"
Complain,"norozilik, shikoyat, betoblik (kam,plan) Kam"
Complexion,"rang, tus, qiyola"
Compliance,"rozilik, ko,ngilchanlik"
Complicated,"murakkab, chigal"
Compliment,"maqtamoq, tabriklamoq"
Comply,"itoat etmoq, bajarmoq"
Composed,"tinch, xotirjam, ...dan iborat"
Composure,"sukunat, jimjitlik (composition-bayon) Xonada"
Comprise,o'z ichiga olmoq
Compulsory,majburiy
Compunction,"afsus, pushaymonlik"
Comrade,"do'st, o'rtoq"
Con,"aldamoq, tovlamachilik qilmoq"
Concede,"tan olmoq, yutqaamoq"
Conceit,"g'urur, kibr"
Conceivable,"aqlga sig'adigan, tushunarli; (qon suyulib)"
Conceive,"frkrlamoq, tushunmoq, homilador bo'lmoq"
Concentrate,fik(diqqat)ni jamlamoq
Concept,"tushuncha, tasalryur"
Concise,"qisqartma, aniq-ravon"
Concord,"moslashuv, kelishuv"
Condescend,iltifot ko'ruatmoq
Condemnation,"ayblash, qoralash"
Conlbderate,"ittifoqchi, l'ederativ"
conl'ess,"iqror bo'lmoq, tavba qilmoq"
confide,"ishonmoq, sirlashmoq"
Conform,"kelishib ishlamoq, mos kelmoq"
Conlbund,"chalkashmoq, chippakka chiqmoq, hayron"
Congeal,"quyulmoq, mudamoq"
Congenital,"tug'ma, genetik"
Congession,"aholi zichligi, uyum"
Connoisseur,"bilimdon, usta"
Connotation,qo'shimcha ma'no
Conquer,"zabt etmoq, yengmoq"
Conscience,"insof, vijdon"
Consecutive,"izchil, muntazam"
Consequence,"oqibat, natija, ahamiyat"
Consequently,"demak, binobarin, natijada"
Conservation,"asrash, muhofaza"
Conservative,"eskilik taral'dori, vazmin-bosiq"
Considerable,"ko'pgina, katta, sezilarli"
Considering,"nisbatan, ...9a qaraganda"
Consign,"topshirmoq, sotishga jo'natmoq"
consistent,"doimiy, o'zgarmas, munosib"
Console,"ovutmoq, yupatmoq"
consolidate,"mustahkamlamoq, birlashtirmoq"
consortium,banklar birlashmasi
Conspicuous,mashhur
Conspire,litna (suiqasd) qilmoq
Consternation,"qo'rquv, hayajon"
Constituent,"ishtirokchi, saylovchi"
Constitute,"tashkil etmoq, qabul qilmoq, kuchga kiritmoq"
Constrain,"majbur qilmoq, to'xtatmoq"
Constructive,"ijobiy, lbydali"
Construe,"so'zna-so'z tarjima qilmoq, tushunmoq"
Consummate,"mukammal, tugatmoq"
Consumption,"iste,mol qilish, sil kasalligi"
Contaminate,"illoslantirmoq, zararlamoq"
Contemplate,"fikr yuritmoq, tomosha qilmoq"
Contemplation,"tafakkur, fikr-mulohaza"
Contemporary,"zamonaviy, zamondosh"
Contemptible,"razil, pastkash"
Contract,shartnomg qisqafiirmoq
Contradict,"qarshilik ko,rsatmoq, ziddiyatga uchramoq"
Contrarlictory,"teskari, ziri"
contrary,"aksincha, qarama-qarshilik (konter ari) Konter"
contributor,"xizmatchi-xodim, ehson qiluvchi"
Contrive,"loyihalashtirmoq, erishmoq, kashf etmoq"
controversial,bahs-munozarali
Convalesce,"shifo topmoq, sog'aynoq"
Convenient,"qulay, yaqin"
Convention,"an'ana, odat, syezd, shartnoma"
Conversion,o'zgar(tir)ish
Convict,"maxbus, aybdor deb topmoq"
Convince,ishon(tir)moq
Cope,"uddalamoq, qiyinchilikni yengmoq"
Copious,"ko'p miqdorda, keragidan ortiq"
Copyright,muallillik huquqi
Cordial,"samimiy, sidqidildan,yurakdan"
Corporal,"moddiy, jismoniy"
